journal_no,journal_accreditation,journal_url
23,Indonesian Journal of Electrical Engineering and Computer Science,http://www.iaesjournal.com/online/index.php/IJEECS
24,Jurnal Ilmu Ternak dan Veteriner,http://medpub.litbang.pertanian.go.id/index.php/jitv/index
25,Indonesian Journal of Electrical Engineering and Informatics,http://section.iaesonline.com/index.php/IJEEI/index
26,TELKOMNIKA (Telecommunication Computing Electronics and Control),http://journal.uad.ac.id/index.php/telkomnika
27,IJOG : Indonesian Journal on Geoscience,https://ijog.geologi.esdm.go.id/index.php/IJOG
28,QIJIS (Qudus International Journal Of Islamic Studies),http://journal.stainkudus.ac.id/index.php/QIJIS
29,Atom Indonesia,http://aij.batan.go.id
30,"AGRIVITA, Journal of Agricultural Science (AJAS)",https://agrivita.ub.ac.id/index.php/agrivita
31,HAYATI Journal of Biosciences,http://journal.ipb.ac.id/index.php/hayati/
32,Journal of Degraded and Mining Lands Management,http://jdmlm.ub.ac.id/index.php/jdmlm/index
33,JSP (Jurnal Ilmu Sosial dan Ilmu Politik),https://jurnal.ugm.ac.id/index.php/jsp
34,Indonesian Journal of Chemistry,https://jurnal.ugm.ac.id/ijc
35,BIOTROPIA,http://journal.biotrop.org/index.php/biotropia
36,Indonesian Journal of Biotechnology,https://jurnal.ugm.ac.id/ijbiotech/
37,Al-Jami'ah: Journal of Islamic Studies,http://www.aljamiah.or.id
38,Bulletin of Chemical Reaction Engineering & Catalysis,https://ejournal2.undip.ac.id/index.php/bcrec
39,Journal of Regional and City Planning,http://journals.itb.ac.id/index.php/jpwk
40,Indonesian Journal of Forestry Research,http://ejournal.forda-mof.org/ejournal-litbang/index.php/IJFR
41,Indonesian Journal of Geography,http://jurnal.ugm.ac.id/ijg/
